"EstablishmentID","InspectionID","EstablishmentName","PlaceName","Address","Address2","City","State","Zip","TypeDescription","Latitude","Longitude","InspectionDate","Score","Grade","NameSearch","Intersection"
"27867","1407707","FUNNEL CAKE #5"," ","MOBILE UNIT","","LOUISVILLE","KY","40202","SELF-CONTAINED MOBILE FOOD UNITS","38.2526647","-85.7584557","2018-08-16 00:00:00","100","A","FUNNELCAKE",""
"28520","1399956","SANDWICH TRAILER #4"," ","MOBILE UNIT","","LOUISVILLE","KY","40202","SELF-CONTAINED MOBILE FOOD UNITS","38.2526647","-85.7584557","2018-07-25 00:00:00","100","A","SANDWICHTRAILER",""
"28521","1399955","CORN DOG SAUSAGE #3"," ","MOBILE UNIT","","LOUISVILLE","KY","40202","SELF-CONTAINED MOBILE FOOD UNITS","38.2526647","-85.7584557","2018-07-25 00:00:00","96","A","CORNDOGSAUSAGE",""
"28521","1407704","CORN DOG SAUSAGE #3"," ","MOBILE UNIT","","LOUISVILLE","KY","40202","SELF-CONTAINED MOBILE FOOD UNITS","38.2526647","-85.7584557","2018-08-16 00:00:00","98","A","CORNDOGSAUSAGE",""
"28522","1407706","CORN DOG SAUSAGE #2"," ","MOBILE UNIT","","LOUISVILLE","KY","40202","SELF-CONTAINED MOBILE FOOD UNITS","38.2526647","-85.7584557","2018-08-16 00:00:00","97","A","CORNDOGSAUSAGE",""
"28523","1407705","CORN DOG #1"," ","MOBILE UNIT","","LOUISVILLE","KY","40202","SELF-CONTAINED MOBILE FOOD UNITS","38.2526647","-85.7584557","2018-08-16 00:00:00","97","A","CORNDOG",""
"29790","1362171","ANGIO'S"," ","3731 BARDSTOWN RD","","LOUISVILLE","KY","40218","FOOD SERVICE","38.1975000","-85.6565000","2018-03-01 00:00:00","94","A","ANGIOS",""
"29790","1395356","ANGIO'S"," ","3731 BARDSTOWN RD","","LOUISVILLE","KY","40218","FOOD SERVICE","38.1975000","-85.6565000","2018-07-09 00:00:00","96","A","ANGIOS",""
"29862","1351216","HAUCK'S HANDY STORE"," ","1000 GOSS AVE","","LOUISVILLE","KY","40217","PRE-PACKAGED RETAIL","38.2277000","-85.7364000","2018-01-17 00:00:00","98","","HAUCKSHANDYSTORE",""
"29918","1343522","IGA PIC PAC"," ","9304 BLUE LICK RD","","LOUISVILLE","KY","40229","PRE-PACKAGED RETAIL","38.1142000","-85.6908000","2017-12-11 00:00:00","75","","IGAPICPAC",""
"29918","1345382","IGA PIC PAC"," ","9304 BLUE LICK RD","","LOUISVILLE","KY","40229","PRE-PACKAGED RETAIL","38.1142000","-85.6908000","2017-12-18 00:00:00","99","","IGAPICPAC",""
"29928","1343619","BROADWAY FOOD MART"," ","4132 W BROADWAY","","LOUISVILLE","KY","40212","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2498000","-85.8208000","2017-12-11 00:00:00","93","A","BROADWAYFOODMART",""
"29928","1343620","BROADWAY FOOD MART"," ","4132 W BROADWAY","","LOUISVILLE","KY","40212","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2498000","-85.8208000","2017-12-11 00:00:00","94","","BROADWAYFOODMART",""
"29928","1369189","BROADWAY FOOD MART"," ","4132 W BROADWAY","","LOUISVILLE","KY","40212","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2498000","-85.8208000","2018-04-03 00:00:00","89","A","BROADWAYFOODMART",""
"29928","1369190","BROADWAY FOOD MART"," ","4132 W BROADWAY","","LOUISVILLE","KY","40212","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2498000","-85.8208000","2018-04-03 00:00:00","89","","BROADWAYFOODMART",""
